f1,f2,f3,f4,f5,f6
4.75,4.75,-2.375,-0.95,-11.875,-0.95
4.725,4.7,-1.125,-0.7,-13.125,-0.975
4.7,4.725,-2.625,-0.975,-5.625,-0.7
-0.225,-0.7,23.625,4.7,-24.375,-0.525
-0.525,-0.975,23.5,4.725,-17.5,-0.225
-0.475,-0.95,23.75,4.75,-23.75,-0.475
-0.7,-0.225,-4.875,-0.525,118.125,4.7
-0.975,-0.525,-3.5,-0.225,117.5,4.725
-0.95,-0.475,-4.75,-0.475,118.75,4.75
-0.875,-0.4083,-4.375,-0.4083,118.125,4.725
-0.9125,-0.4417,-4.5625,-0.4417,118.4375,4.7375
-0.925,-0.4667,-3.9375,-0.3167,117.8125,4.725
-0.7875,-0.3167,-4.625,-0.4667,118.125,4.7125
