f1,f2,f3,f4,f5,f6
0,0,0,0,0,12.00057551
0.858568077,0.871650108,0.037190473,0.861648786,0.859424833,5.187799818
0.03221431,0.863209294,0.85578366,0.857241901,0.857955588,5.188511329
0.007124943,0.640119276,0.015926912,0.957445377,0.022504664,10.13755122
0.864821672,0.016933591,0.855801066,0.856636592,0.862447265,5.220911199
0.854664337,0.846604699,0.848398624,0.01864246,0.854431305,5.22020715
0.020195466,0.688131223,0.02173495,0.672914564,0.686032097,9.884277104
0.871959865,0.855409267,0.870407722,0.860028674,0.028307726,5.20420653
0.974851014,0.008543706,0.031779357,0.661346792,0.025848344,10.09706582
0.024647069,0.972921622,0.023550806,0.654980975,0.04121633,10.0889249
0,4.55E-05,0,0.334279159,0.309157117,11.29089298
0,0.876794651,0,0,0.38507679,10.1188182
0.663743975,0.673897689,1.08E-05,0.648762729,0,10.11375547
0.03756939,0.98775526,0.660546085,0.000444667,0.0361173,10.1863566
0.271998476,0.000154325,6.33E-06,5.95E-07,0.00735918,11.79987786
0.380278638,0.359481846,0,0.039403935,0.009175894,11.46691759
0.969353626,0.03980823,0.658333219,7.30E-05,0.004020225,10.09057468
0,0.39116245,0.036205621,0.003218383,0.312362674,11.41376159
1,0.008534991,0.037209801,0.003614737,0.668823095,10.25621087
0.009008379,0.032122003,0.669887904,0.675246191,0.638976269,10.05477561
0.636860102,0.664489201,8.71E-08,0,0.70367549,9.961311758
0.722531159,0.000623151,0,0.020105271,1,9.897321426
0.008906787,0,0.311044953,0.000429044,0.379269127,11.40399604
0.319051947,0.012077541,0.035122615,0.005663573,0.39907318,11.40626676
0,0,0.393349392,0.917856122,0.009832114,10.2555856
0,0.003437151,0.00451763,0.320989056,0,11.82470052
0.636499673,0.018530757,0,0.961626578,0.017417385,10.2189869
0.00281418,0.286549287,0,0.004028405,0.006004054,11.58020022
0.019436927,0.655794815,0.655110305,0.679653282,0.005484111,10.04678644
6.91E-05,0.000723214,0.38819894,0.385174646,0,11.5999509
0.664684235,0,0.679786519,0.669007698,0.019094846,9.881073202
0.996501135,0.691278463,0.02528211,0.022782304,0.004648327,10.06178994
0.38986727,0.001313426,0.321536666,0,0,11.46139811
0.018004048,0.666010721,0.667922412,3.65E-09,0.686155129,9.837174858
0.662347187,0.003758566,0.037412919,0.654421295,0.617567363,10.40562186
0.000674883,0.657116812,0.99652969,0.045269876,0.002244706,10.31220686
0.024837695,0.006016542,0.829635989,0.442785444,0.00266739,10.24736517
0,0.272337057,0.005845098,0.366871011,0,11.32495805
0,0.006950432,0.295172673,0,0,11.7995678
0.057448125,0.007246279,0.658585013,0.017366252,0.884496514,9.835795929
0.380789773,0,0,0.354693098,0.001028346,11.51833261
0.002051507,0.004281827,0.037642178,0.654183477,0.967013904,10.12005696
0,0,4.51E-08,0.020185121,0.279941571,11.67172934
0,0.690993519,0.015744981,0.022805102,0.004634768,11.10516375
0,0.878749738,0,0.651542704,0.380247539,9.549818062
0.674671403,0.004401227,0.037249596,0.654175915,0.278553255,10.2540808
0.304430244,0.023796447,0.97175486,0.043034945,0,10.29843208
0.010609257,0.005930658,0,0.697562733,4.39E-05,11.08903796
0.666035744,1,0.004103025,0.003863378,0,10.33077724
0.074068231,0.654724278,0,0.015600178,0.993272669,10.40738055
0.860900895,0.966907729,0.873897408,0.007772953,0.035749668,7.308854283
0.665416358,0,0.670978064,1.06E-05,0.687993947,9.829247801
0.044508085,1,0.320821253,0,0.004948227,11.09914954
0.021979276,0.640600948,0.039272026,0.017157549,0.844472791,9.932413553
0.716184209,2.93E-06,0.008025818,0.022395231,0.030789927,10.88907985
0,0.273669104,0.316999331,0,0.383183613,11.00952658
0.696363679,0.012080486,0.997653273,0.005849521,0.037209016,10.02288117
0,0,0.036829461,0.903257269,0.311849873,9.97900041
0,0.393877106,0.392725553,0.017817237,0.010344915,11.78400055
0.016356625,0.003803583,0.971776219,0.044953559,0.665507955,10.06494032
0.305185032,0.709053482,0.002857043,0.856104564,0.004691146,8.949894092
0.048554437,0,0.322644926,0.009808291,0.019110964,11.54443186
0.376037215,0,0,0.354793803,0.005920917,11.48303528
0.007832583,0.022056062,0.709878677,3.10E-07,0.687158555,10.16394209
0.871721837,0.898582668,0.863523757,0.887352769,0.02817146,5.531713793
0.009982203,0,0,0,0.691238786,11.15550323
0.718646222,0.040534373,0.668960356,0.000463405,0.00767101,10.19667096
0.331678054,0.871544938,0.035142453,0.035457683,0.860191874,8.586083212
0.0359229,0.03500908,0.667921274,0.022341811,0.000711542,11.20373261
0.010327538,0.012417328,0,0,0.31871477,11.6169325
0.654752076,0,0.054155382,0.944572542,0.070711131,9.810249236
0.010483516,0.258739657,0.868620935,0.007742681,0.036547231,9.822283472
0.634602015,0.664151982,0.5892578,0.026160342,0,10.678054
0.007070246,0.640295492,0.015906709,0.672647496,0.027782559,11.17279656
0.075507171,0.969165013,0.014486931,0.020988422,0.95855386,9.942512456
0.029380902,0,0.666287638,0.98670013,0.885826531,8.559326412
0.018205996,0.657486771,0.312672837,0.005535593,0.679595814,10.23999934
8.93E-05,0.004823295,0.68610665,0.933786957,0.037506432,9.66162037
0.631456276,0.898328926,0.872415217,0.893391201,0.695960237,5.731013385
0.628372952,0.69843947,4.95E-05,0,0.012436614,10.79612373
0.385612552,0.001379432,0.000110822,0.034838146,0,11.75127139
