YS(Mpa),UTS(Mpa),%EL
747.8058,1110.3995,23.137938
745.82465,1093.5121,26.704527
776.4749,927.82025,25.92851
757.719,928.1643,30.973925
771.86084,1069.5463,25.393597
783.14087,1096.4303,22.976831
772.8444,1095.5447,24.881657
705.86285,837.4921,36.90985
756.9144,928.445,30.967981
773.284,930.7936,25.964312
764.2571,928.2724,29.946432
721.63403,925.2205,31.89822
724.19696,814.7682,36.877953
723.32367,911.073,31.85444
750.2879,1112.0577,23.084284
777.9923,930.4152,25.676565
696.4981,929.3421,32.456043
752.11566,1099.1274,24.986425
760.8028,1091.2325,25.85862
780.8011,1036.8505,25.005949
762.30206,881.778,30.767044
747.3333,1094.1086,26.582312
778.55634,926.31976,26.19069
776.21155,929.8526,26.273201
750.2879,1112.0577,23.084284
754.6777,930.06836,30.984491
724.46954,912.20233,31.5001
781.83185,1089.873,24.2021
747.8719,1109.3878,24.15571
763.0199,1096.2827,24.8891
751.999,1093.6262,25.367538
765.0876,1112.0264,22.88202
713.9174,1097.8694,26.037117
728.91296,814.2544,36.186844
761.34985,931.86316,30.060062
760.92584,1090.6527,26.516235
779.93787,1107.1052,22.208752
779.55475,924.81537,26.00611
776.508,926.38055,26.388882
776.6814,933.42554,25.40213
759.36035,928.7711,30.829239
762.5417,1096.8269,24.783058
763.323,1098.2339,24.364698
760.76843,929.25397,30.824429
777.4793,1090.8402,24.947552
783.05945,1102.0166,22.42282
783.8175,855.7676,34.324238
762.66516,929.40234,30.723377
759.5808,1097.1173,24.692154
779.67316,879.8672,26.048828
719.74524,926.1011,32.244877
730.4389,931.07025,30.980652
779.375,924.2205,26.243189
737.89417,940.0232,28.236801
779.4402,1092.0155,23.953627
769.3638,936.5771,25.701017
759.3296,931.3495,30.330542
780.8072,917.05975,26.030584
773.2902,931.46747,25.948774
709.8294,842.4693,36.38537
782.8691,925.5117,25.156683
766.879,1110.9708,22.504967
765.4781,1096.7795,24.367464
775.8592,930.3846,25.933218
784.27026,1093.9692,23.07813
783.0538,1051.9967,23.19848
756.6347,931.17456,30.69478
734.6045,925.9323,31.150928
779.42206,1107.8578,21.908241
780.9124,1047.7079,24.37711
759.0499,899.5327,31.251692
735.183,940.18225,29.109552
761.0578,1101.3506,24.283924
760.5841,931.3495,30.279299
777.9639,933.1793,25.6505
732.71014,911.81775,31.812971
739.6145,939.85486,28.11801
763.2129,879.44684,30.917215
715.118,815.12805,37.171852
758.2624,924.1794,31.253017
749.3121,1101.433,25.10114
758.5062,934.89105,30.279299
730.4389,931.07025,30.980652
779.65674,922.16394,26.052732
767.21747,1107.3058,23.618092
755.6276,928.0396,30.989298
774.38837,927.1355,26.30032
714.01154,793.50073,37.23119
782.94495,1103.1289,22.49167
705.17395,838.2625,37.162327
724.64874,808.2601,36.49092
781.45703,1044.3923,24.384129
755.4922,928.5533,30.979412
761.5473,932.9733,29.977388
757.6225,1101.3534,24.4706
793.0046,871.8487,29.684893
765.39026,929.58575,29.827257
761.7975,913.07495,30.995003
680.10095,855.9213,34.484715
762.4988,931.0926,29.963818
724.19696,814.7682,36.877953
746.3354,1107.0094,25.154299
767.21747,1107.3058,23.618092
721.0651,837.86304,35.38406
808.7176,810.2946,34.67709
702.3271,753.0232,37.28219
766.6019,1107.4541,23.496931
753.7823,939.4919,29.219725
774.44324,1100.6519,23.319675
776.52966,931.87683,25.877693
774.94763,932.1294,25.842735
760.1349,1101.3158,24.451588
785.85596,925.27515,24.103243
775.83325,1108.6227,21.482952
717.43585,845.0689,35.78002
765.4558,1104.7415,23.637102
758.73346,1093.3496,26.021166
778.21014,1092.9496,24.280605
778.1642,932.1022,25.444073
774.7054,1095.7733,24.817524
755.40784,931.71844,30.59216
765.96765,929.58575,29.826204
777.01,923.6084,26.291895
722.5058,1090.8998,26.717285
776.6525,932.50006,25.705938
754.0998,932.0072,30.978731
751.2419,1106.2001,24.953995
784.02716,1099.039,20.871086
715.1742,793.50073,37.093243
710.2023,851.7084,36.147903
765.51514,929.4374,29.876833
746.6214,1094.7155,26.397028
807.991,784.9375,34.77681
778.8313,1088.0239,25.173407
764.15393,934.4617,28.92871
752.9515,1098.4075,25.213789
766.9845,926.95825,29.98572
706.39154,854.19855,36.867485
713.2862,844.2989,36.06704
811.4056,785.3257,34.701374
779.3776,1093.2772,23.782375
706.5858,841.4552,36.789906
804.9741,857.09033,29.729456
805.5558,854.9724,30.521263
757.48126,924.77637,30.975004
805.83344,851.90955,30.13898
761.32587,1091.3627,25.238224
749.3227,1107.1577,25.09715
781.7074,1098.8497,23.339441
812.6649,822.16925,30.957764
739.6608,939.7243,29.225069
782.5648,1099.1887,22.793255
777.8513,931.01746,25.91001
807.4275,841.3493,34.55402
812.9914,836.9848,30.95116
781.4406,1094.2705,23.625528
782.5414,1107.1184,22.090517
771.7215,1106.3969,23.612614
740.83966,933.24634,30.977678
809.38007,841.1511,34.274235
773.7953,1096.6119,24.86598
765.7699,927.9402,29.960663
807.4631,809.56195,34.70754
726.6857,942.19305,28.91966
777.1822,1094.9763,24.65107
763.0116,1031.8013,25.50968
711.77795,1094.3777,26.4425
762.11066,937.41614,25.790768
754.2257,1110.0215,23.083332
709.77997,842.94257,36.771137
708.53143,843.0393,36.234676
780.8423,1105.7007,22.63499
779.39386,1082.305,25.268644
776.19,1106.6421,23.13565
756.1355,931.2106,30.977678
801.1143,864.6423,24.951132
779.29987,930.73785,25.48518
783.3493,1104.6537,22.088345
763.054,937.5645,25.752628
779.9564,1099.2477,23.340067
764.31287,913.4219,30.420986
778.75885,1106.8972,23.130844
748.44714,1095.9529,25.752813
799.2803,855.629,33.77446
793.38983,866.55664,30.362297
764.41846,926.6305,30.2247
781.8441,1104.431,22.953947
754.33026,930.8132,30.978731
751.46954,1084.0281,26.871643
781.1614,1019.5812,24.433432
782.5414,1107.1184,22.090517
754.1364,1096.7213,25.00412
782.39813,988.89984,24.427446
810.31433,856.8676,29.861416
782.67706,913.40204,26.045017
763.3013,927.50336,30.494862
732.10895,1101.3696,25.2142
744.9882,1032.773,27.060207
710.55365,928.4418,32.477215
763.3144,936.3168,28.257654
805.3968,840.3615,34.810085
780.65436,1089.9386,24.293583
801.197,855.44275,34.218582
782.4279,989.1364,24.41688
784.14124,914.3519,25.297262
778.65155,1092.1173,24.331432
787.40015,860.458,31.561832
758.9907,1089.111,26.603199
805.7542,806.6029,34.857582
779.15234,929.8383,25.689497
804.1437,861.41815,29.520203
708.66254,836.21063,36.887783
783.36066,880.2457,25.50365
782.75287,1097.6456,23.379301
707.0615,851.89966,36.66127
765.37775,913.4219,30.188713
722.4346,830.64264,36.168583
765.9289,934.3133,29.028713
778.64923,1088.1705,25.189196
781.5359,1091.7559,24.246222
777.993,1089.4441,25.170528
811.4501,839.01733,34.381042
716.4023,845.8384,36.053734
782.4879,1089.1669,24.227404
812.246,843.1821,34.160507
751.4796,1109.716,23.084284
752.3674,1008.052,26.909992
721.8719,936.1002,30.263256
781.85693,1012.6092,25.082409
762.8563,936.08466,28.42212
778.2517,1105.3147,23.149752
805.2188,816.0129,34.862484
753.1174,820.5549,35.381245
720.72595,936.7446,30.051155
775.0554,1098.8597,24.193493
786.1981,1015.56824,21.93268
759.1176,1092.0131,25.128462
718.60046,844.186,36.127865
713.13403,826.0486,36.85737
672.5665,862.11554,34.10861
781.6199,1012.6092,25.126932
707.73755,928.4795,32.477215
804.3028,841.34924,34.82029
799.23035,856.4107,33.77446
746.08417,925.2626,31.169556
785.6906,1014.24475,21.983706
791.4204,872.2831,25.48086
793.44104,862.14825,31.490276
782.2427,1103.6608,22.792885
715.8664,929.2968,31.784657
708.97363,840.0443,36.851406
805.77844,854.64294,30.859476
721.6029,1091.5009,26.75096
782.341,1102.1371,22.754217
781.0018,1106.9701,22.189497
776.58044,1095.4592,24.878431
718.48505,825.75574,36.859406
794.17804,864.72437,31.165535
781.2683,864.3102,31.547976
779.7192,1105.312,23.137722
761.42834,971.38794,26.544262
749.3556,932.93164,30.972757
769.84906,1023.31433,25.504025
776.9742,1094.4263,24.724463
781.4517,1076.3965,24.277426
709.9465,843.0393,36.196693
777.93616,1108.4108,22.412134
765.91815,906.68756,30.61417
805.19275,857.9683,29.518822
776.6308,933.15137,25.760729
799.6251,865.0215,30.542326
777.8006,1094.9092,24.580164
778.81805,1107.9921,23.118292
782.7966,1094.1407,23.203405
761.9658,927.63556,30.875858
781.28986,863.77814,31.781933
757.3168,1090.7515,26.77659
779.5688,1106.1444,22.703972
705.82025,931.2394,31.839685
787.3371,866.2318,31.399527
712.3795,841.3946,36.826244
714.7428,839.002,36.35135
779.5153,1106.4797,23.082449
812.39484,840.914,32.030994
733.0499,815.83795,35.9612
811.9399,814.0917,34.41571
763.3559,935.6642,28.47542
717.5935,826.5324,36.757156
812.6387,839.21356,32.409695
768.52527,1108.9813,22.900642
710.55365,927.9809,32.49952
800.5474,856.2541,30.94318
798.58093,866.3585,30.543707
800.16284,848.964,34.6752
782.7381,924.1954,25.519327
779.868,866.28705,30.836008
812.3901,840.6873,33.138985
804.11694,848.0621,32.90711
725.3727,941.5257,29.251204
781.0985,877.7623,26.180273
718.56854,826.23865,36.65079
777.8985,1090.6353,25.346943
776.45483,925.9375,26.46724
754.8647,1110.1698,23.032703
779.2276,1108.184,22.210543
748.74316,1108.12,25.09715
812.6387,839.21356,32.409695
801.7061,855.2644,33.659447
776.5376,918.3123,26.325562
798.49414,870.0225,23.837334
794.26434,863.3883,31.165535
778.15735,905.779,26.3308
779.69696,1072.0192,25.12941
679.38885,857.44446,34.549805
804.0479,789.1196,34.913013
795.1268,851.7248,35.026333
744.51196,1013.9752,27.064062
779.7376,927.5744,25.487848
749.10724,1094.0099,26.456886
747.5972,1097.6298,26.01725
782.7381,931.1018,24.437601
785.5777,1030.5172,22.553823
766.15704,928.605,28.476261
710.0955,854.4412,35.837357
812.6387,839.21356,32.409695
804.7473,855.6314,30.503752
765.1681,1110.0283,23.059664
711.0956,841.6976,36.635513
780.11694,1106.5609,22.395483
762.7847,921.39166,30.528372
757.96014,925.90015,30.969637
708.7563,834.81055,36.908978
737.19635,941.23,28.32701
724.154,934.4524,30.740452
721.2745,922.7753,32.74137
798.2536,819.3757,34.864605
788.9015,860.67883,31.504168
812.3066,846.44403,34.02748
794.9299,851.9092,35.026333
779.39386,1086.2079,25.132067
783.80023,992.46906,24.33047
719.308,929.00397,31.951801
780.56946,1088.6111,24.29839
767.9752,908.483,26.815437
782.68207,1102.8158,22.629305
769.7052,1093.3438,24.938541
778.3157,1090.4183,24.66816
704.37476,855.75574,36.09818
718.9304,828.20996,36.362156
779.69696,1072.0192,25.12941
779.3046,1094.7361,23.68195
693.6816,844.7089,37.07936
778.75885,1099.2628,24.16585
729.54974,867.5721,33.429523
780.19885,1089.8662,24.51839
805.7542,833.50055,34.810085
782.5988,1105.8578,22.101084
785.4338,1015.56824,24.278599
781.02136,1106.775,22.155306
779.19464,855.3044,34.495625
793.52386,853.7012,34.28263
711.36127,939.2384,30.107756
764.7071,1094.9011,25.054546
799.89484,850.38055,34.426414
778.9088,908.96326,26.324287
782.061,926.69104,25.422281
722.2868,825.8476,36.20143
809.46533,860.9322,29.248806
794.6556,868.20264,29.551552
722.8349,932.1796,31.18435
785.76953,872.3908,29.687016
755.2113,1006.5412,26.885319
719.34827,925.1308,32.77256
759.04083,923.25183,30.969131
781.5614,862.1864,31.73816
795.1516,855.7007,34.03161
741.1677,925.5075,31.140448
779.5611,1089.4952,24.606382
799.42285,865.6818,28.535524
805.19275,857.9683,29.518822
789.28595,852.8083,35.066963
794.33014,859.7345,34.179565
721.8254,932.3904,31.510235
777.29517,1092.5118,24.727297
792.10535,873.11884,25.4436
803.8285,787.9919,34.975582
783.1864,1021.06915,24.23735
780.214,918.1614,26.044249
753.96094,1112.2941,22.055557
781.8749,1106.5859,22.196379
788.6025,872.0413,29.579283
792.81445,866.55664,30.817968
720.4507,832.8889,36.009182
794.0175,865.2563,31.10787
743.19824,1098.7651,25.99568
781.04736,1104.5281,22.647457
794.5226,866.1009,30.718618
