YS(Mpa),UTS(Mpa),%EL,Charpy Energy at -80 C
675.4048,1105.1793,22.611,32.265656
710.3486,1066.594,25.950684,37.072433
676.364,1114.6337,20.31208,43.352673
704.9662,1097.2776,23.006208,44.157818
745.1261,1055.0054,25.778923,34.587723
745.9869,1048.6506,26.01815,32.74521
769.2549,821.9606,30.23453,57.723705
737.523,1068.2897,25.033852,53.919704
698.6991,1046.1223,26.87554,34.325207
698.7219,1065.5396,25.972822,44.63627
694.037,1048.757,26.515268,51.688576
703.05786,1062.1831,26.073185,44.339798
725.0575,1074.8251,26.316349,25.458687
798.053,795.9544,29.52221,48.97275
669.6612,1080.139,23.736883,64.052216
736.2304,1038.8256,26.24914,39.25853
687.59344,1062.9255,26.180027,52.3835
749.9213,1036.4182,25.85372,33.896957
724.3844,1040.2628,25.226336,59.290596
708.40326,1058.9677,26.442352,32.260014
703.2333,1047.8477,26.813168,31.465261
756.32245,1064.3657,25.37506,41.315796
751.8135,1039.61,25.290157,52.862537
677.85443,1048.6078,26.629139,49.862804
687.4814,1004.7771,26.988935,57.714565
719.9642,1077.6715,21.306355,63.627934
667.28107,1077.9824,25.393082,57.999146
720.4473,1073.9893,25.431114,55.201633
722.81506,1086.0483,23.869974,62.157326
734.9034,1072.2727,25.825241,47.395252
726.9687,1076.092,25.770126,48.437096
757.1142,1051.4778,25.76203,33.11313
692.4012,1078.906,24.899263,60.358673
676.73413,1060.0592,25.91881,59.13968
762.1637,991.61646,24.369772,55.997208
759.94336,1070.8536,24.889166,52.23817
720.75305,1056.3451,26.813059,31.477615
708.4023,1030.1484,25.792496,56.139282
564.9378,1014.66174,26.538,60.508163
764.07745,1046.6477,19.544382,63.065773
693.25287,1079.8206,24.87343,60.358673
735.70135,1056.755,25.885763,41.987045
706.6766,1046.718,25.698847,55.04193
752.8783,884.06195,29.930925,62.442684
667.8567,1072.1593,26.797504,43.35343
712.27594,1003.23315,25.048077,67.27868
718.12976,1074.6693,24.945509,54.465523
647.46924,1093.9908,24.876238,50.71191
751.4285,1066.8323,23.933302,57.361122
693.1171,916.8383,31.108173,37.710567
706.4994,1076.4685,26.666077,32.30951
724.51855,1027.1721,25.918262,56.584694
687.79816,1034.9725,27.366375,31.559061
716.679,1031.3945,25.390549,60.376488
730.4482,908.22644,30.131378,45.096264
700.44653,1070.5896,24.46525,59.51852
706.0608,898.58887,31.174921,52.383373
745.47046,1065.6451,24.133402,57.64472
710.71484,1052.9473,26.811314,36.046345
712.60535,1025.9224,22.436762,67.9302
746.92596,1049.882,25.445404,56.552628
708.2376,1099.7421,22.759737,39.330338
697.3924,1105.5565,20.511742,46.65899
706.1618,1094.4298,22.994589,45.288616
700.6395,1101.6542,22.452215,44.429585
644.4664,1027.1721,19.387741,67.51527
755.74506,1071.3198,24.899899,44.186108
673.75635,902.11304,30.933577,63.313362
668.70874,972.5925,27.160202,43.609413
693.6706,1076.8967,25.687275,56.79883
736.2606,1082.8418,24.490988,55.914715
670.4565,915.7362,30.659634,48.9938
755.9528,1075.2079,24.053566,54.449577
