f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11
7.31E+01,1.84E+03,7.83E+01,2.17E+00,3.96E+02,4.09E+04,-1.47E+03,-1.61E+01,-1.93E+02,2.22E+00,3.19E-01
7.53E+01,1.87E+03,7.90E+01,2.34E+00,3.44E+02,4.15E+04,-1.02E+03,-1.70E+01,-1.85E+02,2.46E+00,3.43E-01
7.43E+01,1.88E+03,8.74E+01,2.34E+00,4.48E+02,4.21E+04,-1.58E+03,-1.58E+01,-1.98E+02,1.87E+00,3.37E-01
7.45E+01,1.92E+03,8.83E+01,2.14E+00,4.77E+02,4.30E+04,-2.07E+03,-1.68E+01,-1.96E+02,2.35E+00,3.10E-01
7.31E+01,1.84E+03,7.83E+01,2.17E+00,3.96E+02,4.09E+04,-1.47E+03,-1.61E+01,-1.93E+02,2.22E+00,3.19E-01
7.31E+01,1.85E+03,7.76E+01,2.24E+00,3.99E+02,4.13E+04,-1.40E+03,-1.63E+01,-1.94E+02,2.33E+00,4.31E-01
7.43E+01,1.88E+03,8.74E+01,2.34E+00,4.48E+02,4.21E+04,-1.58E+03,-1.58E+01,-1.98E+02,1.87E+00,3.37E-01
7.45E+01,1.92E+03,8.83E+01,2.14E+00,4.77E+02,4.30E+04,-2.07E+03,-1.68E+01,-1.96E+02,2.35E+00,3.10E-01
7.38E+01,1.82E+03,7.81E+01,2.19E+00,3.91E+02,4.08E+04,-1.32E+03,-1.57E+01,-1.91E+02,2.25E+00,5.35E-01
7.31E+01,1.84E+03,7.83E+01,2.17E+00,3.96E+02,4.09E+04,-1.47E+03,-1.61E+01,-1.93E+02,2.22E+00,3.19E-01
7.43E+01,1.88E+03,8.74E+01,2.34E+00,4.48E+02,4.21E+04,-1.58E+03,-1.58E+01,-1.98E+02,1.87E+00,3.37E-01
7.45E+01,1.92E+03,8.83E+01,2.14E+00,4.77E+02,4.30E+04,-2.07E+03,-1.68E+01,-1.96E+02,2.35E+00,3.10E-01
7.38E+01,1.82E+03,7.81E+01,2.19E+00,3.91E+02,4.08E+04,-1.32E+03,-1.57E+01,-1.91E+02,2.25E+00,5.35E-01
7.31E+01,1.84E+03,7.83E+01,2.17E+00,3.96E+02,4.09E+04,-1.47E+03,-1.61E+01,-1.93E+02,2.22E+00,3.19E-01
7.41E+01,1.88E+03,8.19E+01,2.16E+00,4.16E+02,4.21E+04,-1.71E+03,-1.63E+01,-1.98E+02,2.54E+00,3.91E-01
7.45E+01,1.92E+03,8.83E+01,2.14E+00,4.77E+02,4.30E+04,-2.07E+03,-1.68E+01,-1.96E+02,2.35E+00,3.10E-01
7.38E+01,1.82E+03,7.81E+01,2.19E+00,3.91E+02,4.08E+04,-1.32E+03,-1.57E+01,-1.91E+02,2.25E+00,5.35E-01
7.31E+01,1.84E+03,7.83E+01,2.17E+00,3.96E+02,4.09E+04,-1.47E+03,-1.61E+01,-1.93E+02,2.22E+00,3.19E-01
7.41E+01,1.84E+03,8.32E+01,2.18E+00,3.96E+02,4.14E+04,-1.49E+03,-1.56E+01,-1.95E+02,2.50E+00,7.49E-01
7.45E+01,1.92E+03,8.83E+01,2.14E+00,4.77E+02,4.30E+04,-2.07E+03,-1.68E+01,-1.96E+02,2.35E+00,3.10E-01
7.28E+01,1.76E+03,7.37E+01,2.07E+00,3.70E+02,3.91E+04,-1.20E+03,-1.50E+01,-1.91E+02,1.93E+00,2.86E-01
7.38E+01,1.82E+03,7.81E+01,2.19E+00,3.91E+02,4.08E+04,-1.32E+03,-1.57E+01,-1.91E+02,2.25E+00,5.35E-01
7.44E+01,1.89E+03,8.16E+01,2.26E+00,4.18E+02,4.23E+04,-1.60E+03,-1.67E+01,-1.92E+02,2.55E+00,5.66E-01
