f1,f2,f3,f4,f5,f6,f7,f8,f9
439.32,253.349,116.544,436.191,1169.474,1110.355,1195.166,762.215,544.667
668.359,520.459,577.04,441.996,1034.418,1028.178,811.762,441.468,278.457
272.263,344.49,241.365,102.84,968.229,800.41,738.774,798.933,564.72
404.463,257.08,73.429,466.661,1168.715,1152.278,1183.585,726.365,539.069
284.422,153.643,47.208,151.547,811.427,925.531,1034.647,944.244,790.382
409.913,190.969,79.351,434.206,1189.018,1117.881,1208.26,807.248,544.667
382.196,370.528,280.358,584.959,1331.36,1330.224,1136.502,530.009,338.733
431.159,223.638,77.304,489.913,1194.551,1167.493,1224.348,747.464,544.667
499.389,389.411,97.654,586.42,1158.578,1342.457,1041.745,596.877,325.267
157.541,-78.783,-225.116,360.304,1050.541,937.077,1080.338,1035.483,731.879
-332.768,-1985.233,-1199.031,289.72,2309.224,2516.067,2514.003,1974.311,2018.573
441.045,255.645,122.088,437.523,1167.942,1101.698,1188.851,757.905,536.149
584.035,335.843,344.247,245.491,806.287,726.895,1022.02,665.711,408.111
508.997,581.882,654.999,153.369,869.193,765.517,442.076,494.095,313.124
468.789,583.163,355.314,645.649,1010.219,1295.601,680.316,157.35,203.456
489.894,397.077,471.713,143.546,669.124,840.498,670.941,654.858,554.653
596.975,362.33,491.997,436.88,1082.384,1045.724,834.916,551.7,270.293
586.225,713.613,849.982,676.062,1284.391,1371.073,706.703,65.688,-54.196
619.562,163.414,139.59,1242.275,1364.37,1851.374,1124.121,120.704,194.199
720.321,634.222,569.025,563.084,1023.53,1213.833,682.199,303.286,97.585
703.776,439.651,669.853,431.312,1075.996,1118.469,754.883,403.811,289.901
643.588,506.391,635.63,508.584,1022.147,617.498,674.284,377.234,-32.74
126.4,368.19,97.535,177.426,943.239,919.447,646.059,671.934,546.471
262.581,271.286,169.747,93.936,883.518,826.144,824.231,864.111,662.649
240.131,283.596,206.208,95.418,984.491,802.881,744.424,844.565,565.047
248.951,373.368,281.541,105.686,983.488,818.376,693.383,758.073,527.541
365.935,578.488,215.267,341.033,940.475,1177.945,458.483,521.438,195.159
-91.867,-647.737,-333.883,0.463,1456.319,1395.58,1278.881,1345.681,1226.85
435.608,406.683,434.062,-20.581,661.234,492.448,652.218,702.396,433.411
162.936,303.966,-212.533,692.642,1153.354,1456.701,1070.198,437.836,478.43
86.463,371.377,43.213,219.457,945.305,975.068,638.744,627.761,539.361
149.845,173.026,-124.483,287.167,823.68,1103.275,994.603,791.219,757.185
495.236,388.198,93.601,587.693,1158.629,1343.912,1042.381,595.247,327.264
82.373,111.349,-352.955,684.44,1251.49,1576.696,1198.874,550.849,611.397
255.898,91.831,10.411,151.186,833.014,934.111,1048.657,988.238,788.979
284.225,284.832,208.663,367.623,1061.689,1170.981,1034.897,689.145,537.74
262.341,121.25,10.874,162.046,793.046,948.889,1039.74,952.1,815.787
345.983,290.664,28.986,304.518,803.979,1159.412,882.772,777.152,568.615
224.153,87.347,-19.087,121.412,769.239,883.342,1004.513,1004.513,838.597
-482.229,-2099.638,-1276.068,28.362,1994.303,2362.045,2381.259,2153.134,2258.266
409.237,224.14,253.581,-40.903,455.441,560.731,865.516,865.516,678.301
383.641,244.861,154.691,502.626,1263.471,1219.001,1181.28,700.454,449.955
406.159,177.304,61.304,458.913,1200.551,1144.159,1221.681,800.464,544.667
394.096,158.144,51.37,445.43,1201.97,1142.74,1204.65,825.301,526.216
280.319,38.217,-77.783,399.304,1134.319,1038.188,1155.449,932.928,630.768
-355.249,-2027.529,-1224.421,289.048,2318.542,2510.981,2515.264,2008.469,2005.349
410.706,192.025,81.901,434.818,1188.313,1113.9,1205.356,805.266,540.749
556.292,274.412,309.673,241.312,821.653,730.01,1033.122,709.634,406.54
363.188,412.005,338.637,636.495,1386.962,1406.083,1114.894,448.519,266.524
343.851,423.043,353.505,604.965,1369.913,1378.78,1067.523,448.526,265.169
352.376,394.757,320.429,601.733,1345.338,1375.886,1105.75,480.619,302.389
494.334,399.781,112.151,599.586,1172.904,1361.915,1036.553,576.327,307.042
359.79,402.908,332.07,635.647,1391.133,1410.901,1120.995,454.387,273.085
362.9,411.407,337.892,635.849,1386.204,1405.087,1115.584,449.229,266.918
364.702,-80.205,-312.214,1092.665,1460.861,1798.92,1509.55,547.104,515.598
188.815,-36.792,-183.125,337.996,821.992,1163.876,1133.921,928.318,873.821
498.667,386.781,94.181,591.175,1160.797,1347.513,1044.327,595.571,325.267
272.2,-296.867,-443.2,1004.4,1557.6,1873.533,1646.067,725.4,694.6
354.816,-104.095,-342.224,1077.837,1438.265,1772.558,1535.912,569.347,529.367
494.779,379.649,91.643,586.387,1161.697,1344.108,1043.556,603.797,324.849
474.452,360.017,67.417,579.704,1148.052,1327.122,1031.583,621.061,341.835
-261.008,-1815.276,-1198.001,442.167,2281.07,2726.883,2340.612,1790.62,1776.856
499.542,389.614,98.145,586.538,1158.442,1341.691,1041.186,596.495,324.513
125.282,-116.809,-264.024,351.554,1036.665,916.989,1066.656,1066.656,753.183
127.638,-111.676,-258.01,345.353,1029.609,916.145,1065.386,1065.386,755.802
123.957,-119.957,-266.291,351.333,1038.12,918.675,1068.607,1068.607,755.342
125.202,-117.001,-264.268,351.333,1036.408,916.652,1066.895,1066.895,753.319
467.458,-575.714,325.604,355.167,1593.74,1827.227,1165.059,807.095,883.283
-555.613,-2027.525,-1149.119,-69.058,2168.296,2277.474,2116.405,2087.512,2130.419
-356.408,-2022.847,-1213.801,280.338,2321.698,2489.34,2514.183,1973.62,2020.398
-478.946,-2112.782,-1287.789,317.333,2416.83,2711.116,2392.81,1807.095,2012.218
-422.495,-1818.588,-1285.618,423.721,2229.023,2591.701,2377.611,1746.302,1896.06
-510.374,-2183.214,-1325.123,24.464,2039.163,2415.923,2431.735,2197.664,2312.276
-376.102,-1834.23,-1017.406,437.628,2449.063,2708.303,2435.185,1727.466,1793.173
-313.769,-1954.788,-1269.835,518.418,2334.242,2653.663,2543.623,1832.231,1918.857
-705.077,-2393.522,-1641.734,188.039,2118.377,2243.874,2324.72,2324.72,2243.836
373.463,-904.606,-49.829,-202.12,837.647,886.06,1520.078,1240.493,1071.152
