f1,f2,f3,f4,f5,f6,f7,f8,f9
802.606,535.071,802.606,1272,1272,1072.515,410.197,73.424,220.273
913.319,234.157,444.917,1272,1272,1021.417,308,47.875,143.625
802.606,738.852,558.068,1272,1272,1072.515,410.197,73.424,220.273
555.445,370.297,555.445,1272,1272,964.382,176.939,206.273,312.958
805.109,538.965,809.56,1260.318,1260.318,1064.727,410.197,73.424,220.273
405.803,270.535,405.803,1073.598,1867.205,1072.515,410.197,73.424,220.273
650.456,433.638,650.456,1272,1272,1072.515,410.197,-230.875,1133.17
794.67,529.78,794.67,1272,1272,1183.62,545.11,41.68,125.04
698.184,465.456,698.184,1272,1272,1156.053,577.272,115.193,345.579
804.553,536.369,804.553,1268.106,1268.106,1069.919,410.197,73.424,220.273
976.285,159.89,125.244,1272,1272,992.356,249.878,33.344,100.033
797.708,-305.361,-248.75,1272,1272,848,-56.175,151.925,143.625
860.041,-14.477,125.244,1213.878,1446.367,992.356,249.878,33.344,100.033
1019.73,-114.674,26.613,1272,1272,964.175,193.517,-15.971,163.439
911.356,224.994,433.135,1272,1272,1080.324,378.689,30.203,90.608
891.951,134.438,316.706,1272,1272,1047.059,359.284,60.696,182.088
941.502,365.678,614.015,1149.02,1149.02,954.802,338.745,55.561,166.684
890.581,508.199,263.689,1272,1272,1031.911,328.989,53.122,159.367
659.327,611.244,453.295,1272,1272,1009.83,274.977,150.437,274.002
884.2,865.777,784.719,891.227,891.227,818.667,410.197,73.424,220.273
708.904,725.187,405.803,1225.149,1412.552,1072.515,410.197,73.424,220.273
676.471,654.762,431.933,1272,1272,1072.515,410.197,-178.846,977.082
799.678,741.78,549.284,1272,1272,1113.51,459.976,61.712,185.135
760.31,703.606,524.231,1272,1272,1106.352,477.87,90.343,271.028
926.822,821.663,682.284,1023.568,1023.568,906.894,410.197,73.424,220.273
689.839,-199.607,-134.536,1272,1272,848,-59.982,193.804,200.732
716.838,621.352,1003.757,518.836,518.836,462.273,176.939,206.273,312.958
0,0,0,1034.237,1985.288,929.417,101.514,249.23,342.928
495.705,330.47,495.705,1272,1272,1098.201,449.356,220.611,441.998
680.973,453.982,680.973,1020.945,1020.945,797.013,176.939,206.273,312.958
946.746,454.974,775.129,931.659,931.659,812.755,344.465,56.991,170.974
936.275,913.029,969.873,648.212,648.212,656.657,410.197,73.424,220.273
771.461,570.37,977.802,930.563,977.671,782.08,268.873,73.424,220.273
700.385,636.707,1039.953,234.021,820.477,478.272,410.197,73.424,220.273
895.87,767.031,1235.438,380.635,380.635,478.272,410.197,-122.061,806.728
802.22,541.661,815.916,1236.048,1236.048,1161.809,547.729,41.064,123.191
759.939,581.124,908.934,880.887,880.887,912.955,612.56,124.015,372.045
0,0,0,887.102,2426.695,1075.969,322.129,56.156,168.468
0,0,62.431,870.697,2382.262,1010.084,316.55,73.424,220.273
0,0,0,1003.204,2078.388,956.571,160.09,215.869,319.653
405.803,270.535,405.803,1135.111,1682.668,1072.515,410.197,-172.624,958.418
863.597,-16.708,123.048,1272,1272,991.728,248.623,-195.065,783.379
821.143,717.213,1160.711,380.635,380.635,478.272,410.197,-271.515,1255.089
646.075,430.716,646.075,1272,1272,1141.164,493.557,-249.446,1071.198
591.266,394.177,591.266,1272,1272,1125.505,516.176,-190.287,1170.376
895.196,596.797,895.196,724.25,724.25,707.349,410.197,-289.146,1307.984
759.04,506.027,759.04,1272,1272,1279.081,579.395,0,0
689.523,459.682,784.25,1224.636,1272,1234.773,580.159,0,0
800.525,533.684,800.525,1260.051,1260.051,1177.327,547.141,41.202,123.606
487.908,325.272,487.908,1272,1272,1287.676,688.028,150.507,451.52
97.67,65.114,343.042,1149.314,1272,1194.795,777.443,257.25,771.75
744.136,496.091,744.136,1147.273,1147.273,1086.03,603.53,121.758,365.273
1039.798,18.838,-322.524,1272,1272,954.248,102.21,0,0
850.833,-294.944,-380,1272,1272,848,-54.3,131.3,115.5
1120.102,375.615,125.244,984.367,984.367,800.6,249.878,33.344,100.033
775.833,-407.444,-380,1234.5,1384.5,848,-54.3,131.3,115.5
775.833,-407.444,-380,1272,1272,848,-57.633,167.967,165.5
842.125,-98.083,17.75,967.429,967.429,644.952,-59.982,193.804,200.732
785.413,-362.741,-322.524,1144.807,1653.579,954.248,102.21,0,0
632.661,-421.774,-356.393,1062.412,1802.692,892.105,82.067,15.91,47.729
1063.991,-294.318,-190.566,1272,1272,936.653,111.007,-51.317,153.951
1060.943,-369.593,-257.937,1258.385,1272,898.436,75.654,-65.207,195.621
897.926,-423.724,-380,1272,1272,848,-52.207,83.858,157.36
1237.944,-251.593,-108.167,954.306,954.306,713.87,116.5,-83.361,250.083
900.24,173.118,366.438,1272,1272,1134.438,383.094,0,0
940.417,360.612,607.502,1140.336,1140.336,1042.367,451.638,28.423,85.27
925.93,293.006,520.579,1024.439,1024.439,940.268,475.783,89.821,269.463
1139.741,541.89,384.476,842.968,842.968,729.901,297.011,45.128,135.383
894.869,148.056,334.215,775.954,775.954,554.534,15.81,197.793,236.634
1394.85,-146.989,48.739,614.343,614.343,487.229,116.5,-109.512,328.536
1033.943,51.098,-338.022,1272,1272,956.314,101.176,0,0
785.579,97.685,-181.08,1272,1272,904.834,61.411,137.244,170.106
697.885,611.784,377.678,1272,1272,1064.479,394.126,-174.856,941.007
1100.864,395.159,139.296,1005.444,1005.444,818.667,257.907,35.352,106.056
828.424,874.284,923.009,482.882,482.882,483.752,274.977,150.437,274.002
533.559,612.104,225.882,1196.226,1499.321,1021.109,299.307,136.58,264.335
626.367,585.707,424.611,1272,1272,1077.889,413.41,158.989,341.348
835.929,728.979,629.898,918.795,918.795,774.361,274.977,150.437,274.002
714.79,747.619,433.009,1149.025,1355.263,1024.905,410.197,73.424,220.273
749.385,775.9,649.903,891.227,891.227,818.667,410.197,-196.206,1029.164
868.895,852.92,741.253,942.652,942.652,912.945,483.048,56.283,168.848
832.231,835.461,778.722,807.278,807.278,818.667,522.13,101.407,304.222
936.275,865.777,767.36,891.227,891.227,818.667,410.197,73.424,220.273
673.544,718.67,349.975,1209.726,1458.823,1072.99,398.081,71.049,213.146
665.866,713.799,351.816,1203.63,1462.386,1062.699,395.473,73.424,220.273
661.587,654.212,405.803,1263.003,1298.992,1072.515,410.197,-172.624,958.418
718.871,740.138,405.803,1165.348,1384.645,1037.964,410.197,73.424,220.273
676.127,655.376,430.578,1272,1272,1079.594,418.792,-180.545,970.047
669.67,648.989,426.619,1272,1272,1078.462,422.092,-174.607,982.207
846.604,768.184,602.066,891.227,891.227,818.667,410.197,-219.353,1098.605
745.431,731.329,464.181,1272,1272,1251.863,502.278,0,0
929.559,832.613,674.072,1007.144,1007.144,972.592,503.27,51.525,154.574
637.231,612.67,411.813,1272,1272,1183.882,545.709,111.663,334.99
361.295,397.402,331.301,1193.074,1272,1141.43,626.953,186.808,560.423
874.982,772.703,647.724,954.448,954.448,929.934,548.437,107.984,323.953
1029.874,704.87,540.18,930.279,930.279,818.667,358.128,60.407,181.221
921.457,832.989,659.035,962.763,1019.991,875.895,410.197,73.424,220.273
948.879,836.367,704.341,891.227,891.227,818.667,410.197,-14.803,484.955
793.129,-187.455,-380,1272,1272,848,-56.337,153.703,146.05
429.759,-286.506,-286.506,1168.215,1583.354,848,-61.835,214.19,228.532
717.113,-399.615,-380,1272,1272,848,-59.982,193.804,200.732
763.639,594.538,997.784,380.635,380.635,355.256,146.641,204.678,298.606
786.641,762.604,1036.8,392.671,392.671,396.874,217.301,183.285,296.92
700.385,636.707,1086.02,357.602,380.635,324.072,107.839,206.273,312.958
700.385,636.707,1039.953,360.916,439.793,367.239,170.684,209.836,315.444
700.385,636.707,1039.953,380.635,380.635,473.329,387.005,217.329,412.463
107.841,161.761,0,1057.124,1916.627,956.571,160.09,215.869,319.653
0,169.784,339.568,61.111,1339.209,323.15,75.577,264.002,353.234
0,0,0,1039.285,1970.146,956.571,156.883,251.148,367.76
665.104,613.187,1004.672,380.635,380.635,552.358,547.885,225.797,488.669
388.431,258.954,388.431,1272,1272,1067.552,386.963,-24.585,1138.18
641.786,427.857,641.786,942.572,942.572,920.32,534.322,225.083,482.245
1078.965,704.307,882.395,401.634,401.634,450.801,327.257,52.689,158.067
1124.058,408.634,825.473,380.635,380.635,408.655,270.964,-2.166,238.192
945.981,456.3,780.329,905.962,905.962,895.657,465.605,28.083,84.248
1068.079,744.661,899.461,403.806,403.806,457.058,336.875,55.094,165.281
866.862,879.287,1154.975,344.53,405.266,373.219,227.987,73.424,220.273
887.94,910.458,1033.099,406.806,406.806,451.94,315.761,127.209,257.797
880.473,899.56,1033.371,351.886,567.396,495.024,410.197,73.424,220.273
947.913,933.397,1115.353,403.806,403.806,493.719,410.197,-8.044,464.679
932.486,911.188,973.346,634.953,634.953,740.633,522.903,46.905,140.716
874.876,883.183,1026.155,433.317,433.317,599.351,582.113,116.403,349.21
700.385,636.707,1162.599,319.312,380.635,280.996,65.242,165.112,284.241
700.385,636.707,1162.599,234.021,636.508,355.626,226.228,73.424,220.273
749.123,669.199,1308.812,270.575,380.635,258.151,80.015,24.687,366.486
763.813,577.508,997.687,864.788,913.425,993.175,576.337,0,0
700.385,636.707,1162.599,319.312,380.635,492.091,499.159,141.657,424.971
700.385,636.707,1039.953,237.027,811.459,562.438,512.399,49.377,148.13
700.385,636.707,1039.953,286.625,662.665,562.438,578.53,115.507,346.522
889.292,762.645,1228.86,380.635,380.635,616.412,577.938,-154.951,668.588
801.627,704.201,1141.194,380.635,380.635,591.364,636.382,28.729,693.636
930.992,755.323,1200.316,240.149,240.149,384.614,410.197,-297.669,1333.553
790.061,553.009,842.665,1133.916,1133.916,1189.888,587.508,0,0
769.094,572.578,971.278,916.551,957.794,1037.544,598.522,0,0
700.385,636.707,1039.953,380.635,380.635,688.742,730.668,158.565,475.696
700.385,636.707,1096.561,352.331,380.635,610.959,703.876,168.072,504.216
700.385,636.707,1039.953,380.635,380.635,562.438,570.173,207.428,471.869
609.077,-406.051,-406.051,1072.417,1870.75,965.385,96.641,0,0
359.311,538.966,0,1066.757,1887.729,1075.969,322.129,56.156,168.468
0,0,0,924.459,2314.623,1075.969,322.129,-93.273,616.754
0,0,0,909.996,2358.012,1209.015,380.877,0,0
0,0,0,1045.631,1951.106,1288.955,578.681,128.765,386.295
356.019,534.029,62.431,1048.707,1848.233,1010.084,316.55,73.424,220.273
0,0,62.431,908.054,2270.191,1010.084,316.55,-76.004,668.558
0,0,200.808,879.875,2147.163,1128.692,421.038,0,0
0,0,268.085,1109.403,1357.664,1186.359,771.927,264.389,793.166
570,-380,-380,1181.571,1543.286,848,-57.829,170.114,168.429
0,0,0,1040.561,1966.316,956.571,160.09,66.441,767.939
987.802,-313.031,-226.655,1272,1272,941.465,108.601,-176.427,529.281
1005.999,-406.223,-304.428,1254.158,1272,889.983,62.974,-158.19,474.571
788.609,-409.148,-380,1272,1272,848,-54.081,-7.969,522.794
1237.944,-251.593,-108.167,824.251,824.251,627.168,116.5,-213.415,640.246
834.079,857.507,1001.518,403.806,403.806,493.719,410.197,-235.713,1147.685
813.704,712.253,1153.272,380.635,380.635,594.815,551.714,-303.042,1149.882
