f1,f2,f3,f4,f5,f6,f7,f8,f9
-299.5,299.5,149.75,149.75,299.5,299.5,299.5,-299.5,299.5
-70.429,528.571,-117.5,340.643,70.429,681.286,223.143,-70.429,528.571
-102.813,102.812,543.125,-46.938,496.188,102.812,692.875,-496.188,-93.875
-101.75,101.75,347.5,149.75,695,299.5,695,96,101.75
11.774,514.871,-261.355,393.161,-107.677,722.387,99.839,11.774,546.839
0.357,457.786,24.071,269.857,141.214,610.5,364.714,-141.214,387
21.2,406.4,96.3,310.1,192.6,406.4,192.6,21.2,192.6
3.857,454.286,-43.214,340.643,219,681.286,371.714,78.143,454.286
92.923,463.231,-231.846,324.308,-92.923,648.615,92.462,92.923,463.231
-84.75,135.75,498.5,-18.25,463.25,152.75,669.5,-463.25,-53.5
44.175,383.425,142.25,287.125,215.575,383.425,238.55,-1.775,146.65
-101.75,101.75,543.125,-45.875,499.375,103.875,695,-490.875,-93.875
-98.917,98.917,543.833,-49.417,494.417,98.917,692.167,-494.417,-98.833
-143.1,-187.7,368.175,-77.675,736.35,92.75,570.95,137.35,-187.7
-43.25,218.75,215.875,222.875,548.75,445.75,607.25,125.25,218.75
78.827,161.942,317.404,240.038,634.808,359.692,634.808,276.577,41.558
-372.615,131.846,287.308,59.462,695,359.692,815.385,-144.769,131.846
7.013,491.067,-348.953,400.779,-210.51,675.732,3.671,7.013,509.705
115.34,390.592,-68.031,370.147,-11.016,453.115,51.508,115.34,213.126
28.77,501.828,-257.402,396.192,-93.448,724.759,117.23,41.023,535.64
51.739,390.989,142.25,249.304,208.011,466.63,359.576,-100.109,207.163
-87.281,391.393,132.955,163.629,207.607,517.551,486.876,-319.146,275.461
44.806,413.337,79.633,258.745,219,599.388,453.612,-85.653,331.439
4.25,313.75,253.75,137.5,285.25,419.75,536,-285.25,169
82.467,385.978,24.822,340.733,90.489,406.4,110.911,82.467,172.178
67.15,360.45,142.25,310.1,284.5,406.4,284.5,113.1,146.65
30.305,469.598,-154.573,372.659,63.098,706.341,249.22,80.927,489.085
118,325.875,128,326.375,418.75,552.875,500.125,263.625,226
-179.029,315.735,89.794,213.176,451.765,581.529,626.647,-10.529,315.735
118,425.75,-171.625,326.375,19.25,652.75,200.5,163.75,425.75
143.632,425.75,-218.618,322.103,-57.647,644.206,132.147,172.294,425.75
7.429,304.214,269.643,131.143,294.786,403.857,542.357,-288.429,149.929
-9.868,313.411,254.766,130.046,285.589,418.508,543.228,-303.208,166.741
-110.25,42.25,549.5,-94.75,505.75,59.25,669.5,-488.75,-155.5
191.385,-33.038,438.269,-75.808,283.288,-33.038,481.038,-204.115,-309.962
-160.476,-309.334,550.626,-347.008,579.963,-167.895,518.821,-366.563,-483.097
