f1,f2,f3,f4,f5,f6,f7,f8,f9
1071.132,1189.738,706.756,-73.813,180.009,316.839,0,0,234.771
1060.052,1183.867,707.47,-76.932,180.997,320.534,0,0,227.939
1008.273,1106.977,645.799,-69.748,130.513,273.003,82.507,-27.502,224.196
1170.138,1086.384,795.493,-8.848,138.859,116.167,0,0,356.076
1269.412,1278.024,795.042,0,77.974,51.983,0,228.674,503.246
1065.904,1170,696.986,-74.137,193.839,326.925,0,0,244.397
1067.517,1188.787,705.805,-73.622,185.05,319.693,0,0,231.632
1003.488,1160.231,695.819,-79.602,182.84,324.654,-12.631,12.631,212.862
862.179,1030.484,656.429,-111.289,144.576,322.938,80.958,-26.986,133.578
1162.047,1217.66,822.821,-26.515,70.133,46.755,0,275.886,467.226
1045.184,1170,694.026,-82.129,169.862,332.253,0,0,222.197
827.566,812.264,468.787,-40.722,-40.722,81.443,351.28,-117.093,219.22
867.659,881.528,485.172,-40.443,-40.443,80.885,327.799,-55.914,255.392
578.801,245.482,121.068,-57.232,205.607,289.69,488.223,-162.741,393.853
1035.702,1160.933,684.366,-71.725,189.07,317.314,24.273,-8.091,216.952
1182.875,1071.482,806.859,0,132.747,88.498,0.893,-0.298,372.401
1155.311,1039.155,780.868,11.151,111.527,81.785,0,0,368.863
1183.803,1072.197,807.452,0,132.747,88.092,0.203,0,372.895
1184.647,1074.765,807.428,0,132.594,88.396,0,2.732,374.158
1183.253,1071.448,806.133,0,134.008,89.339,0,0,372.932
1143.388,1128.348,682.611,0,3.024,2.016,140.937,160.185,459.927
990.587,919.957,560.011,99.686,-99.686,0,0,160.104,430.688
1292.16,1243.928,775.511,0,0,-65.988,32.994,210.735,541.355
1218.022,1049.733,684.356,0,235.85,157.233,0,240.533,630.733
1262.642,1259.649,789.819,0,37.355,24.903,0,277.03,536.419
1224.132,1265.086,782.105,0,136.192,90.795,0,222.205,461.2
989.734,1119.001,667.56,-74.772,211.638,340.484,-18.545,18.545,241.603
775.356,422.877,281.918,-74.137,474.01,513.705,186.781,-62.26,493.438
977.656,1032.515,611.428,-26.246,116.554,278.63,0,0,250.854
986.323,691.579,461.053,-75.541,420.293,413.293,34.173,0,525.271
928.804,286.913,172.779,-17.684,731.151,534.591,0,0,728.281
1029.085,1173.823,695.942,-73.638,188.915,322.311,-9.596,9.596,222.424
1011.907,1105.718,653.481,-43.139,134.114,287.482,0,0,232.93
1056.432,1175.875,696.801,-70.944,191.776,299.329,8.853,0,228.957
1058.147,1154.525,678.218,-66.102,214.105,319.009,0,0,242.731
725.935,1041.063,672.754,-76.218,153.01,248.589,-82.843,182.571,215.55
1009.542,1151.918,682.359,-85.685,166.182,339.281,-6.575,6.575,211.955
563.463,777.489,586.369,-157.411,82.275,302.754,208.458,-69.486,0
