f1,f2,f3,f4,f5,f6,f7,f8,f9
1258.25,1677.25,1181.5,1169,1112.5,1192,895.25,1261.5,1469.75
1208.138,1761.65,1339.75,1271.863,1094.037,1152.438,961.187,1261.5,1490.85
1288.587,1634.778,1105.381,1109.429,1137.873,1231.714,854.984,1258.19,1457.063
1021.714,1785.929,1411.643,1514.214,933.5,1000.214,978.357,1223.143,1578.429
1707.25,1284.375,1013.125,832.25,1561.5,1697.125,783,1261.5,1076.875
1415.231,1496.187,875.989,872.868,1307.527,1468.275,685.33,1229.516,1404.495
1217.748,1741.299,1305.832,1262.252,1026.766,1076.121,986.626,1193.664,1398.14
1034.74,1810.04,1452.66,1509.78,952.9,1011.3,997.48,1229.24,1571.5
1655.9,1349.55,1102,903.35,1525.95,1647.75,822.5,1261.5,1110.45
1307.2,1365.4,1207.667,644.467,1457.267,1515.667,664,997.333,1094.6
1189.985,1776.544,1349.059,1299.324,1081.471,1136.147,963.515,1261.5,1494.574
925.143,1466.036,910.679,1459.893,891.25,1114.893,634.321,1102.429,1638.786
1564.141,1357.988,857.012,820.282,1402.306,1554.224,712.882,1250.776,1247
1020.455,1818.682,1460.773,1530.591,942.318,998.955,999.773,1228.182,1575.909
1727.286,1255.5,959.5,791,1578,1723.643,754.714,1259.143,1069.214
1733.1,1248.35,957.85,792.1,1573.6,1716.65,761,1258.2,1057.35
1552.071,1347.857,1175.357,1072.071,1448.643,1577.214,839.429,1233.286,1140.357
1715.5,1247.25,967.75,774.5,1578,1717.75,750,1245,1056.25
1662.364,1342.727,1098.409,904.068,1534.568,1656.727,818.909,1261.5,1099.318
1732,1244.5,959.5,787.333,1574.333,1716.833,757.333,1259.667,1057.167
1308.5,1433.571,799.143,968.214,1240.643,1446.929,604.214,1178.286,1458.571
1450.808,1460.271,842.106,833.903,1342.427,1511.306,665.339,1228.161,1378.066
1431.833,1467.048,841.429,828.143,1332.262,1499.786,658.393,1219.69,1387.214
1368.987,1532.451,893.418,941.32,1276.745,1429.059,686.876,1228.954,1413.209
1421.847,1547.751,1183.175,1093.434,1185.693,1258.788,937.497,1160.032,1182.831
989.981,1672.248,1227.505,1379.743,746.438,789.61,1045.371,1037.01,1279.619
1019.34,1894.3,1384.8,1566.28,831.32,831.32,1033.02,1140.36,1367.54
945.737,1444.408,892.184,1415.966,964.927,1215.765,578.927,1080.101,1631.637
1151.625,1645.625,1401.25,1462.25,1079,1166.5,952.375,1212.75,1438.125
1003.7,1808.1,1454.6,1535,923.8,982.2,1003.3,1217.6,1571.5
1238.533,1365.4,1248.867,713.133,1416.067,1474.467,664,969.867,1108.333
1685.333,1295.122,957.169,795.661,1559.354,1711.989,736.069,1249.82,1118.159
1225.333,1269.889,1207.667,521.667,1552.778,1583.889,527.556,860.889,917.222
1011.74,1902.3,1392.8,1577.08,836.52,836.52,1030.22,1149.96,1381.94
922.657,1449.671,886.443,1453.471,896.014,1129.186,613.814,1094.971,1640.857
918.1,1454.85,892.45,1461.55,891.25,1122.35,617.75,1095.8,1642.1
899.2,1534.2,1008.4,1516.6,919,1134.2,650,1097.6,1641.2
991.54,1893.3,1418.8,1598.68,836.92,846.92,1029.62,1159.16,1425.74
1122.556,1269.889,1269.333,624.444,1491.111,1522.222,527.556,819.778,937.778
924.327,1821.061,1487.898,1602.449,845.714,887.122,985.02,1204.388,1572.102
1523.528,1172.575,909.745,1023.189,1445.321,1654.934,659.943,1173.849,1156.877
1699.153,1281.412,954.318,801.365,1578,1730.306,731.024,1250.259,1092.165
1684.6,1240.267,868.933,905.267,1444.267,1563.067,761,1161.2,887.6
1408.124,1274.809,1117.348,1228.91,1356.258,1536.393,757.787,1168.831,1202.663
1369.912,1360.787,1297.431,1353.106,1299.949,1435.366,875.176,1180.806,1193.218
1346.714,1347.857,1298.571,1277.429,1325.429,1454,839.429,1151.143,1181.429
1255.6,1214.4,1132,446,1578,1619.2,487.2,850.8,892
1536.404,1416.821,1109.523,1150.43,1332.662,1404.808,870.775,1139.245,917.788
1057.18,1352.376,717.947,1231.134,1055.053,1330.935,495.953,1085.491,1582.298
1100.444,1385.167,708.278,1185.611,1108.167,1370.5,488.722,1103.556,1546.889
1058.975,1357.025,730.101,1229.747,1069.165,1347.494,492.772,1082.228,1581.646
